================================================================================
DETAILED LATENCY REPORT
================================================================================
Rank  Name                                              Latency   Region  Score   
304   S5公益优选 | 🇺🇦 乌克兰 01 | 141.105.130.102:443          451ms     OTHER   0.3189  
305   S5公益优选 | 🇪🇪 爱沙尼亚 08 | 188.255.236.84:8443         452ms     OTHER   0.3936  
306   S5公益优选 | 🇪🇪 爱沙尼亚 12 | 159.253.20.80:8443          452ms     OTHER   0.3820  
307   S5公益优选 | 🇨🇿 捷克 07 | 193.124.56.89:443             452ms     OTHER   0.3589  
308   S5公益优选 | 🇨🇿 捷克 19 | 91.184.248.209:8443           452ms     OTHER   0.3464  
309   S5公益优选 | 🇵🇱 波兰 19 | 51.77.58.226:443              453ms     OTHER   0.3949  
310   S5公益优选 | 🇩🇰 丹麦 01 | 77.37.96.186:443              453ms     OTHER   0.3558  
311   S5公益优选 | 🇪🇪 爱沙尼亚 20 | 5.175.178.254:8443          454ms     OTHER   0.3457  
312   S5公益优选 | 🇨🇿 捷克 13 | 91.199.154.161:8443           454ms     OTHER   0.3341  
313   S5公益优选 | 🇦🇹 奥地利 05 | 152.53.112.170:443           455ms     OTHER   0.3444  
314   S5公益优选 | 🇮🇹 意大利 05 | 113.30.151.151:8443          455ms     OTHER   0.3373  
315   S5公益优选 | 🇧🇬 保加利亚 18 | 2.27.105.199:443            455ms     OTHER   0.3133  
316   S5公益优选 | 🇵🇱 波兰 06 | 95.85.255.253:443             456ms     OTHER   0.4012  
317   S5公益优选 | 风车郁金 | NL | 185.37.8.121:443             456ms     NL      0.3862  
